player,team
Sean,Penn State
Sean,Utah
Sean,Virginia Tech
Sean,UTSA
Sean,Oklahoma State
Sean,UCF
Randy,Notre Dame
Randy,Iowa
Randy,USC
Randy,Nevada
Randy,Buffalo
Randy,Northwestern
Justin,Oregon
Justin,Ole Miss
Justin,NC State
Justin,App State
Justin,Toledo
Justin,Fresno State
Matthew,Boise State
Matthew,Missouri
Matthew,Texas State
Matthew,Miami (OH)
Matthew,Air Force
Matthew,Oregon State
Futa,Liberty
Futa,Kansas State
Futa,LSU
Futa,Tennessee
Futa,Texas A&M
Futa,Troy
Ben,Alabama
Ben,Florida State
Ben,SMU
Ben,Kansas
Ben,Iowa State
Ben,Louisiana
Austin,Georgia
Austin,Michigan
Austin,Clemson
Austin,Oklahoma
Austin,Colorado
Austin,Jacksonville State
Nick,Ohio State
Nick,Indiana
Nick,Tulane
Nick,UNLV
Nick,Bowling Green
Nick,Western Kentucky
Oliver,Texas
Oliver,Memphis
Oliver,Miami
Oliver,James Madison
Oliver,Louisville
Oliver,Washington State
